bpm,bpm_mean,bpm_std,bpm_min,bpm_max,num_beats,processing_time,error,filename,detector,file_size_mb,actual_bpm,error_percent,confidence
129.19921875,129.19921875,0.0,129.19921875,129.19921875,389,2.59778094291687,0.80078125,electronic_130bpm_Am_dark.mp3,Librosa,6.868862152099609,130.0,0.6159855769230769,
129.94326782226562,130.02113342285156,1.5338506698608398,129.19862365722656,135.99972534179688,389,1.7991046905517578,0.056732177734375,electronic_130bpm_Am_dark.mp3,Essentia,6.868862152099609,130.0,0.04364013671875,3.3135809898376465
130.0117950439453,130.0117950439453,0.0,130.0117950439453,130.0117950439453,389,2.212369918823242,0.0117950439453125,electronic_130bpm_Am_dark.mp3,Essentia_Percival,6.868862152099609,130.0,0.009073110727163462,3.3135809898376465
129.19921875,129.19921875,0.0,129.19921875,129.19921875,126,0.36273789405822754,1.19921875,test_128bpm_C_format.mp3,Librosa,2.2909765243530273,128.0,0.9368896484375,
128.79800415039062,128.06781005859375,2.151677131652832,123.04630279541016,129.19967651367188,127,0.6258091926574707,0.798004150390625,test_128bpm_C_format.mp3,Essentia,2.2909765243530273,128.0,0.6234407424926758,2.2912983894348145
128.39674377441406,128.39674377441406,0.0,128.39674377441406,128.39674377441406,127,0.7509129047393799,0.3967437744140625,test_128bpm_C_format.mp3,Essentia_Percival,2.2909765243530273,128.0,0.30995607376098633,2.2912983894348145
129.19921875,128.71413937868186,5.6113723221192915,63.802083333333336,129.19921875,384,1.0787420272827148,1.19921875,electronic_128bpm_Am_constant.mp3,Librosa,6.868862152099609,128.0,0.9368896484375,
128.01974487304688,128.0195770263672,1.5250866413116455,126.04692840576172,129.20286560058594,383,1.775744915008545,0.019744873046875,electronic_128bpm_Am_constant.mp3,Essentia,6.868862152099609,128.0,0.015425682067871094,2.4820504188537598
127.60416412353516,127.60416412353516,0.0,127.60416412353516,127.60416412353516,383,2.195281982421875,0.39583587646484375,electronic_128bpm_Am_constant.mp3,Essentia_Percival,6.868862152099609,128.0,0.3092467784881592,2.4820504188537598
161.4990234375,132.16870246505047,25.181077512955863,80.74951171875,198.76802884615384,480,1.0712380409240723,51.4990234375,jazz_110bpm_F_variable.mp3,Librosa,6.868862152099609,110.0,46.817294034090914,
107.60372161865234,106.55178833007812,4.7608208656311035,92.28527069091797,123.0472640991211,318,1.7730591297149658,2.3962783813476562,jazz_110bpm_F_variable.mp3,Essentia,6.868862152099609,110.0,2.178434892134233,1.4273144006729126
80.12354278564453,80.12354278564453,0.0,80.12354278564453,80.12354278564453,318,2.1263041496276855,29.87645721435547,jazz_110bpm_F_variable.mp3,Essentia_Percival,6.868862152099609,110.0,27.16041564941406,1.4273144006729126
14.97961956521739,122.17216406389356,18.068815054263773,86.1328125,156.60511363636363,42,1.0847952365875244,45.02038043478261,ambient_60bpm_G_constant.mp3,Librosa,6.868862152099609,60.0,75.03396739130434,
60.08510971069336,60.769954681396484,3.3197102546691895,54.978519439697266,74.89810943603516,181,1.8254587650299072,0.08510971069335938,ambient_60bpm_G_constant.mp3,Essentia,6.868862152099609,60.0,0.14184951782226562,0.5638824701309204
95.703125,95.703125,0.0,95.703125,95.703125,181,2.1853559017181396,35.703125,ambient_60bpm_G_constant.mp3,Essentia_Percival,6.868862152099609,60.0,59.505208333333336,0.5638824701309204
99.38401442307692,99.38401442307692,0.0,99.38401442307692,99.38401442307692,299,1.1055409908294678,0.6159855769230802,jazz_100bpm_Bb_modulation.mp3,Librosa,6.868862152099609,100.0,0.6159855769230802,
150.13783264160156,150.03501892089844,2.2833268642425537,143.55140686035156,152.00277709960938,449,1.7688512802124023,50.13783264160156,jazz_100bpm_Bb_modulation.mp3,Essentia,6.868862152099609,100.0,50.13783264160156,1.6624866724014282
149.7961883544922,149.7961883544922,0.0,149.7961883544922,149.7961883544922,449,2.148030996322632,49.79618835449219,jazz_100bpm_Bb_modulation.mp3,Essentia_Percival,6.868862152099609,100.0,49.79618835449219,1.6624866724014282
28.7109375,108.16977116146317,20.794169210201016,28.7109375,166.70866935483872,84,1.0894670486450195,86.2890625,pop_115bpm_C_happy.mp3,Librosa,6.868862152099609,115.0,75.03396739130434,
117.01249694824219,115.08563995361328,2.845757246017456,105.46791076660156,126.05097198486328,344,1.7899723052978516,2.0124969482421875,pop_115bpm_C_happy.mp3,Essentia,6.868862152099609,115.0,1.7499973462975542,1.5968360900878906
98.4375,98.4375,0.0,98.4375,98.4375,344,2.160463809967041,16.5625,pop_115bpm_C_happy.mp3,Essentia_Percival,6.868862152099609,115.0,14.402173913043478,1.5968360900878906
126.04801829268293,125.25770049098136,5.754735089790817,83.35433467741936,126.04801829268293,374,1.103860855102539,1.0480182926829258,electronic_125bpm_Fsharp_minor.mp3,Librosa,6.868862152099609,125.0,0.8384146341463407,
125.0020980834961,125.00202941894531,1.4300227165222168,123.04534149169922,126.05097198486328,374,1.753753900527954,0.00209808349609375,electronic_125bpm_Fsharp_minor.mp3,Essentia,6.868862152099609,125.0,0.0016784667968750002,3.083122968673706
125.28408813476562,125.28408813476562,0.0,125.28408813476562,125.28408813476562,374,2.2028419971466064,0.284088134765625,electronic_125bpm_Fsharp_minor.mp3,Essentia_Percival,6.868862152099609,125.0,0.2272705078125,3.083122968673706
129.19921875,129.70881228048205,5.394636376788966,120.18531976744185,139.6748310810811,359,1.0694670677185059,0.80078125,transition_120to140bpm_C_gradual.mp3,Librosa,6.868862152099609,130.0,0.6159855769230769,
